0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2	WETH
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984	UNI
0x514910771af9ca656af840dff83e8264ecf986ca	LINK
0x6b175474e89094c44da98b954eedeac495271d0f	DAI
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9	AAVE
0xc00e94cb662c3520282e6f5717214004a7f26888	COMP
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce	SHIB
0x6982508145454ce325ddbe47a25d4ec3d2311933	PEPE
0xd533a949740bb3306d119cc777fa900ba034cd52	CRV
0x5a98fcbea516cf06857215779fd812ca3bef1b32	LDO
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72	ENS
0x111111111117dc0aa78b770fa6a738034120c302	1INCH
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2	SUSHI
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e	YFI
0x0d8775f648430679a709e98d2b0cb6250d2887ef	BAT
0xe41d2489571d322189246dafa5ebde1f4699f498	ZRX
0xc944e90c64b2c07662a292be6244bdf05cda44a7	GRT
0xba100000625a3754423978a60c9317c58a424e3d	BAL
0x4d224452801aced8b2f0aebe155379bb5d594381	APE
0x6810e776880c02933d47db1b9fc05908e5386b96	GNO
0xbbbbca6a901c926f240b89eacb641d8aec7aeafd	LRC
0x0f5d2fb29fb7d3cfee444a200298f468908cc942	MANA
0x3845badade8e6dff049820680d1f14bd3903a5d0	SAND
0xbb0e17ef65f82ab018d8edd776e8dd940327b28b	AXS
0x3506424f91fd33084466f402d5d97f05f8e3b4af	CHZ
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	OMG
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b	CRO
0x4a220e6096b25eadb88358cb44068a3248254675	QNT
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c	ENJ
